,Cenus Tracts,Total Project Costs (Sum),Number of HTC Projects
0,00000000000,444145.0,1
1,24510010200,32000000.0,1
2,24510020300,2168776.0,3
3,24510030100,3400000.0,1
4,24510030200,1234814.0,1
5,24510040100,177652781.0,16
6,24510060300,118936.0,1
7,24510060400,133814.0,1
8,24510070200,197623.0,1
9,24510080400,5182014.0,1
10,24510080500,13700000.0,1
11,24510080600,384308.0,2
12,24510080800,6393456.0,19
13,24510110100,234480.0,1
14,24510110200,26489118.0,8
15,24510120500,7879586.0,20
16,24510120600,15569292.0,1
17,24510120700,2313109.0,1
18,24510130200,229326.0,2
19,24510130300,60921.0,1
20,24510130600,46708377.0,3
21,24510130804,14600000.0,1
22,24510130805,1401251.0,1
23,24510140200,130433.0,1
24,24510170100,62284293.0,7
25,24510180300,544708.0,4
26,24510190100,296150.0,1
27,24510210100,1371554.0,3
28,24510210200,104076408.0,2
29,24510220100,539063.0,2
30,24510260605,42000000.0,1
31,24510260900,19199747.0,1
32,24510261000,556200.0,3
33,24510271200,1760000.0,1
34,24510280500,9250000.0,1
35,26163512900,2812327.0,1
36,26163513200,2959932.0,1
37,26163515300,8592577.0,2
38,26163515700,18900000.0,1
39,26163517000,816333.0,1
40,26163517200,56578748.0,2
41,26163517500,15813870.0,3
42,26163518600,4186591.0,1
43,26163518900,6053531.0,1
44,26163520200,2371259.0,1
45,26163520300,137306771.0,5
46,26163520700,7350000.0,1
47,26163520800,123986861.0,5
48,26163522500,3040046.0,3
49,26163524200,4229361.0,1
50,26163530100,39944793.0,1
51,26163533900,12112111.0,1
52,26163538300,4941621.0,1
53,29189211202,6500000.0,1
54,29189213700,9250000.0,1
55,29189215600,1039215.0,3
56,29189216700,10300000.0,1
57,29189217802,401791.0,1
58,29189218300,522057.0,1
59,29189218401,102265.0,1
60,29189220002,4780909.0,1
61,29189220441,1096901.0,1
62,29189221100,160180.0,2
63,29510101500,33119929.0,6
64,29510101800,1807300.0,2
65,29510104500,1841190.0,1
66,29510105198,1891846.0,2
67,29510105200,1444725.0,3
68,29510105300,29216843.0,11
69,29510105500,629740.0,1
70,29510106100,3656129.0,1
71,29510106600,14491273.0,2
72,29510109700,71719571.0,3
73,29510111200,8697229.0,15
74,29510112100,29486850.0,3
75,29510112400,15165176.0,6
76,29510115700,379110.0,2
77,29510116301,191746.0,1
78,29510116302,3473273.0,1
79,29510116400,669712.0,5
80,29510116500,3496519.0,3
81,29510117100,815738.0,1
82,29510117200,2946271.0,12
83,29510117400,444127.0,3
84,29510118100,11490289.0,15
85,29510118400,725000.0,1
86,29510118600,41152863.0,19
87,29510119102,4183404.0,2
88,29510119200,8629032.0,4
89,29510119300,45126699.0,3
90,29510120200,7464506.0,18
91,29510121100,64598370.0,13
92,29510123100,1319952.0,3
93,29510123200,1342632.0,2
94,29510123300,13005571.88,8
95,29510124100,338483.0,3
96,29510124200,820649.0,3
97,29510124300,2931901.0,7
98,29510124600,1058400.0,4
99,29510125500,243693062.0,12
100,29510125600,362584603.0,69
101,29510126600,35929167.0,30
102,29510126700,19603324.0,39
103,29510127300,887609.0,1
104,29510127400,9888323.0,8
105,29510127500,53506999.0,10
106,29510127600,23315277.0,10
107,39035101200,17852280.0,2
108,39035101300,2540000.0,1
109,39035101501,10160000.0,4
110,39035101700,6434016.0,48
111,39035101901,4170569.0,1
112,39035102402,5500000.0,1
113,39035103300,10609000.0,1
114,39035103400,2091000.0,1
115,39035103602,8838480.0,4
116,39035103900,12793442.0,2
117,39035104300,17658174.0,1
118,39035107701,292065271.0,16
119,39035107802,104921050.0,7
120,39035108701,8337978.0,3
121,39035113101,6539343.0,1
122,39035118301,33081652.0,3
123,39035118602,7138748.0,1
124,39035118800,28414825.0,1
125,39035119100,20000000.0,1
126,39035119501,13000000.0,4
127,42003010300,10000000.0,1
128,42003020100,157110827.0,12
129,42003020300,2770000.0,1
130,42003070300,4041796.0,1
131,42003110200,5785131.0,5
132,42003111500,17600000.0,2
133,42003140600,2272390.0,1
134,42003160900,26913155.0,1
135,42003170200,3412544.0,1
136,42003220600,405966.0,1
137,42003250700,68156.0,1
138,42003423000,2905226.0,1
139,42003560600,5500000.0,1
140,42003562000,8051234.0,1
141,42003563200,76000.0,1
